gradcam_index,pilot_index,image_id,class_name,true_label,true_class_id,source_type,corruption_type,severity,predicted_label,predicted_class_id,prediction_confidence,prediction_matches_target,relative_image_path,source_path,relative_heatmap_path,heatmap_path
10,47,246,005.Crested_Auklet,4,5,clean,clean,0,4,5,0.9172865748405457,1,005.Crested_Auklet/Crested_Auklet_0044_1825.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\005.Crested_Auklet\Crested_Auklet_0044_1825.jpg,clean\image_246.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_246.png
11,243,252,005.Crested_Auklet,4,5,clean,clean,0,4,5,0.21964897215366364,1,005.Crested_Auklet/Crested_Auklet_0059_794929.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\005.Crested_Auklet\Crested_Auklet_0059_794929.jpg,clean\image_252.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_252.png
12,438,308,006.Least_Auklet,5,6,clean,clean,0,5,6,0.8597435355186462,1,006.Least_Auklet/Least_Auklet_0055_795106.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\006.Least_Auklet\Least_Auklet_0055_795106.jpg,clean\image_308.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_308.png
13,331,312,006.Least_Auklet,5,6,clean,clean,0,5,6,0.8685466051101685,1,006.Least_Auklet/Least_Auklet_0023_1898.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\006.Least_Auklet\Least_Auklet_0023_1898.jpg,clean\image_312.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_312.png
14,387,360,007.Parakeet_Auklet,6,7,clean,clean,0,6,7,0.989534318447113,1,007.Parakeet_Auklet/Parakeet_Auklet_0040_795974.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\007.Parakeet_Auklet\Parakeet_Auklet_0040_795974.jpg,clean\image_360.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_360.png
15,99,372,007.Parakeet_Auklet,6,7,clean,clean,0,6,7,0.8406972885131836,1,007.Parakeet_Auklet/Parakeet_Auklet_0010_795995.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\007.Parakeet_Auklet\Parakeet_Auklet_0010_795995.jpg,clean\image_372.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_372.png
16,138,420,008.Rhinoceros_Auklet,7,8,clean,clean,0,7,8,0.5143964886665344,1,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0035_2166.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\008.Rhinoceros_Auklet\Rhinoceros_Auklet_0035_2166.jpg,clean\image_420.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_420.png
17,153,422,008.Rhinoceros_Auklet,7,8,clean,clean,0,7,8,0.8744005560874939,1,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0022_2170.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\008.Rhinoceros_Auklet\Rhinoceros_Auklet_0022_2170.jpg,clean\image_422.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_422.png
18,57,430,009.Brewer_Blackbird,8,9,clean,clean,0,8,9,0.8980926275253296,1,009.Brewer_Blackbird/Brewer_Blackbird_0106_2608.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\009.Brewer_Blackbird\Brewer_Blackbird_0106_2608.jpg,clean\image_430.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_430.png
19,102,458,009.Brewer_Blackbird,8,9,clean,clean,0,8,9,0.8988618850708008,1,009.Brewer_Blackbird/Brewer_Blackbird_0127_2235.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\009.Brewer_Blackbird\Brewer_Blackbird_0127_2235.jpg,clean\image_458.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_458.png
20,49,506,010.Red_winged_Blackbird,9,10,clean,clean,0,9,10,0.8988556265830994,1,010.Red_winged_Blackbird/Red_Winged_Blackbird_0109_4454.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\010.Red_winged_Blackbird\Red_Winged_Blackbird_0109_4454.jpg,clean\image_506.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_506.png
21,466,517,010.Red_winged_Blackbird,9,10,clean,clean,0,9,10,0.77979975938797,1,010.Red_winged_Blackbird/Red_Winged_Blackbird_0027_4123.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\010.Red_winged_Blackbird\Red_Winged_Blackbird_0027_4123.jpg,clean\image_517.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_517.png
22,492,526,010.Red_winged_Blackbird,9,10,clean,clean,0,9,10,0.5002109408378601,1,010.Red_winged_Blackbird/Red_Winged_Blackbird_0039_4285.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\010.Red_winged_Blackbird\Red_Winged_Blackbird_0039_4285.jpg,clean\image_526.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_526.png
23,146,580,011.Rusty_Blackbird,10,11,clean,clean,0,10,11,0.8490517735481262,1,011.Rusty_Blackbird/Rusty_Blackbird_0111_3220.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\011.Rusty_Blackbird\Rusty_Blackbird_0111_3220.jpg,clean\image_580.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_580.png
24,137,585,011.Rusty_Blackbird,10,11,clean,clean,0,10,11,0.3974176347255707,1,011.Rusty_Blackbird/Rusty_Blackbird_0092_2727.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\011.Rusty_Blackbird\Rusty_Blackbird_0092_2727.jpg,clean\image_585.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_585.png
25,166,624,012.Yellow_headed_Blackbird,11,12,clean,clean,0,11,12,0.9375148415565491,1,012.Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0079_8535.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\012.Yellow_headed_Blackbird\Yellow_Headed_Blackbird_0079_8535.jpg,clean\image_624.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_624.png
26,113,658,012.Yellow_headed_Blackbird,11,12,clean,clean,0,11,12,0.9653294682502747,1,012.Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0012_8443.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\012.Yellow_headed_Blackbird\Yellow_Headed_Blackbird_0012_8443.jpg,clean\image_658.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_658.png
27,163,673,013.Bobolink,12,13,clean,clean,0,12,13,0.9299173951148987,1,013.Bobolink/Bobolink_0074_9311.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\013.Bobolink\Bobolink_0074_9311.jpg,clean\image_673.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_673.png
28,333,675,013.Bobolink,12,13,clean,clean,0,12,13,0.3505780100822449,1,013.Bobolink/Bobolink_0097_10861.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\013.Bobolink\Bobolink_0097_10861.jpg,clean\image_675.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_675.png
29,370,687,013.Bobolink,12,13,clean,clean,0,12,13,0.7959484457969666,1,013.Bobolink/Bobolink_0110_9496.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\013.Bobolink\Bobolink_0110_9496.jpg,clean\image_687.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_687.png
30,365,738,014.Indigo_Bunting,13,14,clean,clean,0,13,14,0.4141785204410553,1,014.Indigo_Bunting/Indigo_Bunting_0015_12632.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\014.Indigo_Bunting\Indigo_Bunting_0015_12632.jpg,clean\image_738.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_738.png
31,17,750,014.Indigo_Bunting,13,14,clean,clean,0,13,14,0.9260543584823608,1,014.Indigo_Bunting/Indigo_Bunting_0013_12949.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\014.Indigo_Bunting\Indigo_Bunting_0013_12949.jpg,clean\image_750.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_750.png
32,130,764,014.Indigo_Bunting,13,14,clean,clean,0,13,14,0.8923149108886719,1,014.Indigo_Bunting/Indigo_Bunting_0029_13761.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\014.Indigo_Bunting\Indigo_Bunting_0029_13761.jpg,clean\image_764.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_764.png
33,427,787,015.Lazuli_Bunting,14,15,clean,clean,0,14,15,0.9232595562934875,1,015.Lazuli_Bunting/Lazuli_Bunting_0085_14627.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\015.Lazuli_Bunting\Lazuli_Bunting_0085_14627.jpg,clean\image_787.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_787.png
34,332,808,015.Lazuli_Bunting,14,15,clean,clean,0,14,15,0.917556881904602,1,015.Lazuli_Bunting/Lazuli_Bunting_0032_14778.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\015.Lazuli_Bunting\Lazuli_Bunting_0032_14778.jpg,clean\image_808.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_808.png
35,44,830,015.Lazuli_Bunting,14,15,clean,clean,0,14,15,0.8669207096099854,1,015.Lazuli_Bunting/Lazuli_Bunting_0084_14815.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\015.Lazuli_Bunting\Lazuli_Bunting_0084_14815.jpg,clean\image_830.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_830.png
36,170,850,016.Painted_Bunting,15,16,clean,clean,0,15,16,0.9260806441307068,1,016.Painted_Bunting/Painted_Bunting_0054_16711.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\016.Painted_Bunting\Painted_Bunting_0054_16711.jpg,clean\image_850.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_850.png
37,222,880,016.Painted_Bunting,15,16,clean,clean,0,15,16,0.8124803900718689,1,016.Painted_Bunting/Painted_Bunting_0027_16536.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\016.Painted_Bunting\Painted_Bunting_0027_16536.jpg,clean\image_880.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_880.png
38,65,908,017.Cardinal,16,17,clean,clean,0,16,17,0.829020082950592,1,017.Cardinal/Cardinal_0078_17181.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\017.Cardinal\Cardinal_0078_17181.jpg,clean\image_908.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_908.png
39,389,936,017.Cardinal,16,17,clean,clean,0,16,17,0.9608950614929199,1,017.Cardinal/Cardinal_0018_17071.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\017.Cardinal\Cardinal_0018_17071.jpg,clean\image_936.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_936.png
40,247,948,017.Cardinal,16,17,clean,clean,0,16,17,0.7947551608085632,1,017.Cardinal/Cardinal_0049_18258.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\017.Cardinal\Cardinal_0049_18258.jpg,clean\image_948.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_948.png
41,345,969,018.Spotted_Catbird,17,18,clean,clean,0,17,18,0.9373367428779602,1,018.Spotted_Catbird/Spotted_Catbird_0026_796818.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\018.Spotted_Catbird\Spotted_Catbird_0026_796818.jpg,clean\image_969.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_969.png
42,119,983,018.Spotted_Catbird,17,18,clean,clean,0,17,18,0.5134310126304626,1,018.Spotted_Catbird/Spotted_Catbird_0014_19425.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\018.Spotted_Catbird\Spotted_Catbird_0014_19425.jpg,clean\image_983.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_983.png
43,411,1014,019.Gray_Catbird,18,19,clean,clean,0,18,19,0.8022658228874207,1,019.Gray_Catbird/Gray_Catbird_0075_21125.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\019.Gray_Catbird\Gray_Catbird_0075_21125.jpg,clean\image_1014.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_1014.png
44,322,1021,019.Gray_Catbird,18,19,clean,clean,0,18,19,0.5948870182037354,1,019.Gray_Catbird/Gray_Catbird_0101_21178.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\019.Gray_Catbird\Gray_Catbird_0101_21178.jpg,clean\image_1021.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_1021.png
45,67,1075,020.Yellow_breasted_Chat,19,20,clean,clean,0,19,20,0.6714856028556824,1,020.Yellow_breasted_Chat/Yellow_Breasted_Chat_0091_22111.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\020.Yellow_breasted_Chat\Yellow_Breasted_Chat_0091_22111.jpg,clean\image_1075.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_1075.png
46,152,1089,020.Yellow_breasted_Chat,19,20,clean,clean,0,19,20,0.8080865144729614,1,020.Yellow_breasted_Chat/Yellow_Breasted_Chat_0081_21829.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\020.Yellow_breasted_Chat\Yellow_Breasted_Chat_0081_21829.jpg,clean\image_1089.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_1089.png
47,364,1102,020.Yellow_breasted_Chat,19,20,clean,clean,0,19,20,0.713862955570221,1,020.Yellow_breasted_Chat/Yellow_Breasted_Chat_0034_21955.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\020.Yellow_breasted_Chat\Yellow_Breasted_Chat_0034_21955.jpg,clean\image_1102.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_1102.png
48,462,1127,021.Eastern_Towhee,20,21,clean,clean,0,20,21,0.6857887506484985,1,021.Eastern_Towhee/Eastern_Towhee_0095_22594.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\021.Eastern_Towhee\Eastern_Towhee_0095_22594.jpg,clean\image_1127.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_1127.png
49,453,1136,021.Eastern_Towhee,20,21,clean,clean,0,20,21,0.9585307836532593,1,021.Eastern_Towhee/Eastern_Towhee_0017_22138.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\021.Eastern_Towhee\Eastern_Towhee_0017_22138.jpg,clean\image_1136.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_1136.png
50,423,1161,021.Eastern_Towhee,20,21,clean,clean,0,20,21,0.4140503406524658,1,021.Eastern_Towhee/Eastern_Towhee_0115_22304.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\021.Eastern_Towhee\Eastern_Towhee_0115_22304.jpg,clean\image_1161.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_1161.png
51,340,1200,022.Chuck_will_Widow,21,22,clean,clean,0,21,22,0.3758629560470581,1,022.Chuck_will_Widow/Chuck_Will_Widow_0025_796972.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\022.Chuck_will_Widow\Chuck_Will_Widow_0025_796972.jpg,clean\image_1200.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_1200.png
52,434,1215,022.Chuck_will_Widow,21,22,clean,clean,0,21,22,0.9678599834442139,1,022.Chuck_will_Widow/Chuck_Will_Widow_0014_796987.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\022.Chuck_will_Widow\Chuck_Will_Widow_0014_796987.jpg,clean\image_1215.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_1215.png
53,451,1249,023.Brandt_Cormorant,22,23,clean,clean,0,22,23,0.937575101852417,1,023.Brandt_Cormorant/Brandt_Cormorant_0079_22874.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\023.Brandt_Cormorant\Brandt_Cormorant_0079_22874.jpg,clean\image_1249.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_1249.png
54,418,1257,023.Brandt_Cormorant,22,23,clean,clean,0,22,23,0.9252594113349915,1,023.Brandt_Cormorant/Brandt_Cormorant_0028_22892.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\023.Brandt_Cormorant\Brandt_Cormorant_0028_22892.jpg,clean\image_1257.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_1257.png
55,55,1295,024.Red_faced_Cormorant,23,24,clean,clean,0,23,24,0.7774742245674133,1,024.Red_faced_Cormorant/Red_Faced_Cormorant_0003_796270.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\024.Red_faced_Cormorant\Red_Faced_Cormorant_0003_796270.jpg,clean\image_1295.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_1295.png
56,105,1333,024.Red_faced_Cormorant,23,24,clean,clean,0,23,24,0.8070806264877319,1,024.Red_faced_Cormorant/Red_Faced_Cormorant_0047_796330.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\024.Red_faced_Cormorant\Red_Faced_Cormorant_0047_796330.jpg,clean\image_1333.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_1333.png
57,461,1345,025.Pelagic_Cormorant,24,25,clean,clean,0,24,25,0.8489084839820862,1,025.Pelagic_Cormorant/Pelagic_Cormorant_0009_23561.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\025.Pelagic_Cormorant\Pelagic_Cormorant_0009_23561.jpg,clean\image_1345.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_1345.png
58,135,1388,025.Pelagic_Cormorant,24,25,clean,clean,0,24,25,0.41660842299461365,1,025.Pelagic_Cormorant/Pelagic_Cormorant_0082_23844.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\025.Pelagic_Cormorant\Pelagic_Cormorant_0082_23844.jpg,clean\image_1388.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_1388.png
59,229,1432,026.Bronzed_Cowbird,25,26,clean,clean,0,25,26,0.3172246813774109,1,026.Bronzed_Cowbird/Bronzed_Cowbird_0062_796238.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\026.Bronzed_Cowbird\Bronzed_Cowbird_0062_796238.jpg,clean\image_1432.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_1432.png
60,363,1433,026.Bronzed_Cowbird,25,26,clean,clean,0,25,26,0.7155482172966003,1,026.Bronzed_Cowbird/Bronzed_Cowbird_0058_796239.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\026.Bronzed_Cowbird\Bronzed_Cowbird_0058_796239.jpg,clean\image_1433.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_1433.png
61,159,1451,026.Bronzed_Cowbird,25,26,clean,clean,0,25,26,0.6346319913864136,1,026.Bronzed_Cowbird/Bronzed_Cowbird_0031_24139.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\026.Bronzed_Cowbird\Bronzed_Cowbird_0031_24139.jpg,clean\image_1451.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_1451.png
62,378,1481,027.Shiny_Cowbird,26,27,clean,clean,0,26,27,0.8063450455665588,1,027.Shiny_Cowbird/Shiny_Cowbird_0059_24421.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\027.Shiny_Cowbird\Shiny_Cowbird_0059_24421.jpg,clean\image_1481.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_1481.png
63,39,1507,027.Shiny_Cowbird,26,27,clean,clean,0,26,27,0.24333031475543976,1,027.Shiny_Cowbird/Shiny_Cowbird_0015_796858.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\027.Shiny_Cowbird\Shiny_Cowbird_0015_796858.jpg,clean\image_1507.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_1507.png
64,385,1551,028.Brown_Creeper,27,28,clean,clean,0,27,28,0.8196567296981812,1,028.Brown_Creeper/Brown_Creeper_0065_24464.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\028.Brown_Creeper\Brown_Creeper_0065_24464.jpg,clean\image_1551.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_1551.png
65,324,1553,028.Brown_Creeper,27,28,clean,clean,0,27,28,0.9631257057189941,1,028.Brown_Creeper/Brown_Creeper_0085_24938.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\028.Brown_Creeper\Brown_Creeper_0085_24938.jpg,clean\image_1553.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_1553.png
66,140,1555,028.Brown_Creeper,27,28,clean,clean,0,27,28,0.9163089990615845,1,028.Brown_Creeper/Brown_Creeper_0035_24941.jpg,D:\Demo Python\visual_explanation_robustness\data\raw\CUB_200_2011\images\028.Brown_Creeper\Brown_Creeper_0035_24941.jpg,clean\image_1555.png,D:\Demo Python\visual_explanation_robustness\results\pilot_gradcam\heatmaps\clean\image_1555.png
